time,Thi Mean,Thi Std,Tho Mean,Tho Std,Tci Mean,Tci Std,Tco Mean,Tco Std
3110.000,54.601,0.076,48.905,0.103,0.594,0.087,2.707,0.081
3120.000,54.539,0.104,48.897,0.091,0.618,0.067,2.731,0.075
3130.000,54.570,0.077,48.850,0.094,0.586,0.065,2.748,0.087
3140.000,54.531,0.157,48.905,0.081,0.602,0.090,2.748,0.069
3150.000,54.578,0.136,48.866,0.111,0.570,0.082,2.748,0.095
3160.000,54.562,0.064,48.905,0.072,0.602,0.082,2.797,0.101
3170.000,54.578,0.126,48.842,0.052,0.546,0.107,2.805,0.071
3180.000,54.539,0.064,48.850,0.094,0.570,0.090,2.837,0.069
3190.000,54.492,0.119,48.842,0.111,0.586,0.083,2.853,0.039
3200.000,54.492,0.129,48.756,0.045,0.625,0.067,2.878,0.086
3210.000,54.500,0.115,48.866,0.139,0.570,0.062,2.837,0.088
3220.000,54.484,0.073,48.874,0.144,0.594,0.102,2.894,0.092
3230.000,54.554,0.077,48.858,0.096,0.578,0.069,2.894,0.075
3240.000,54.516,0.105,48.795,0.124,0.602,0.073,2.862,0.064
3250.000,54.523,0.092,48.905,0.103,0.554,0.067,2.918,0.069
3260.000,54.531,0.143,48.850,0.114,0.570,0.062,2.886,0.089
3270.000,54.547,0.096,48.858,0.096,0.594,0.087,2.878,0.101
3280.000,54.508,0.090,48.866,0.123,0.578,0.102,2.870,0.089
3290.000,54.469,0.102,48.889,0.076,0.602,0.082,2.894,0.092
3300.000,54.484,0.147,48.866,0.091,0.586,0.075,2.878,0.066
3310.000,54.438,0.084,48.827,0.152,0.594,0.069,2.862,0.064
3320.000,54.492,0.119,48.827,0.152,0.554,0.093,2.853,0.055
3330.000,54.492,0.149,48.756,0.094,0.586,0.083,2.870,0.060
3340.000,54.469,0.150,48.827,0.072,0.610,0.092,2.805,0.071
3350.000,54.484,0.104,48.819,0.157,0.618,0.076,2.805,0.081
3360.000,54.445,0.123,48.858,0.169,0.610,0.075,2.862,0.092
3370.000,54.500,0.163,48.803,0.162,0.586,0.075,2.797,0.077
3380.000,54.430,0.097,48.819,0.111,0.594,0.079,2.805,0.081
3390.000,54.445,0.084,48.772,0.114,0.546,0.042,2.740,0.067
3400.000,54.445,0.066,48.811,0.124,0.618,0.055,2.731,0.051
3410.000,54.430,0.097,48.725,0.067,0.586,0.083,2.723,0.097
3420.000,54.516,0.091,48.827,0.089,0.570,0.062,2.707,0.060
3430.000,54.430,0.097,48.850,0.130,0.610,0.053,2.748,0.087
3440.000,54.414,0.140,48.803,0.100,0.594,0.058,2.642,0.089
